MapSize,Avg(Dijkstra_Time),Min(Dijkstra_Time),Max(Dijkstra_Time),Avg(BiDirDijkstra_Time),Min(BiDirDijkstra_Time),Max(BiDirDijkstra_Time),Avg(Astar_Time),Min(Astar_Time),Max(Astar_Time),Avg(BiDirAstar_Time),Min(BiDirAstar_Time),Max(BiDirAstar_Time),Avg(JumpPointSearch_Time),Min(JumpPointSearch_Time),Max(JumpPointSearch_Time),Avg(BiDirJPS_Time),Min(BiDirJPS_Time),Max(BiDirJPS_Time),Avg(Dijkstra_ExploredNodes),Min(Dijkstra_ExploredNodes),Max(Dijkstra_ExploredNodes),Avg(BiDirDijkstra_ExploredNodes),Min(BiDirDijkstra_ExploredNodes),Max(BiDirDijkstra_ExploredNodes),Avg(Astar_ExploredNodes),Min(Astar_ExploredNodes),Max(Astar_ExploredNodes),Avg(BiDirAstar_ExploredNodes),Min(BiDirAstar_ExploredNodes),Max(BiDirAstar_ExploredNodes),Avg(JumpPointSearch_ExploredNodes),Min(JumpPointSearch_ExploredNodes),Max(JumpPointSearch_ExploredNodes),Avg(BiDirJPS_ExploredNodes),Min(BiDirJPS_ExploredNodes),Max(BiDirJPS_ExploredNodes),Avg(Dijkstra_PathLength),Min(Dijkstra_PathLength),Max(Dijkstra_PathLength),Avg(BiDirDijkstra_PathLength),Min(BiDirDijkstra_PathLength),Max(BiDirDijkstra_PathLength),Avg(Astar_PathLength),Min(Astar_PathLength),Max(Astar_PathLength),Avg(BiDirAstar_PathLength),Min(BiDirAstar_PathLength),Max(BiDirAstar_PathLength),Avg(JumpPointSearch_PathLength),Min(JumpPointSearch_PathLength),Max(JumpPointSearch_PathLength),Avg(BiDirJPS_PathLength),Min(BiDirJPS_PathLength),Max(BiDirJPS_PathLength)
10,0.119446994,0.003814697,9.929657,0.07168603,0.003814697,2.080679,0.03984356,0.000953674,0.4384518,0.043719291,0.001907349,0.6153584,0.019413233,0.001430511,2.893925,0.02287054,0.001907349,0.433445,28.57,1,56,15.144,1,38,7.292,1,33,5.602,1,17,3.588,1,10,6.056,2,14,4.822326375,1,11.48528,3.849452917,1,10.07107,4.822326375,1,11.48528,4.801494024,1,14.92745,4.822326354,1,11.48528,5.191851931,1,18.31371
15,0.258803367,0.004768372,0.6446838,0.167747498,0.004291534,0.5111694,0.075334072,0.001907349,0.3824234,0.069912434,0.002861023,0.3252029,0.018673897,0.001907349,0.20504,0.027472972,0.001907349,0.2250671,78.324,1,158,47.815,1,112,17.155,1,81,13.525,1,53,5.001,1,15,7.838,2,18,8.620935887,1,21.31371,7.57047851,1,20.31371,8.622256195,1,21.31371,10.30980888,1,29.33025,8.621768724,1,21.31371,8.943199152,1,21.31371
20,0.269565583,0.003814697,0.7238388,0.18484974,0.003814697,0.5674362,0.073547364,0.000953674,0.4005432,0.069779395,0.002861023,0.2784729,0.02161026,0.000953674,0.1840591,0.031395912,0.001907349,0.2174377,91.447,1,194,58.485,1,166,19.086,1,106,14.171,1,62,6.005,1,22,9.18,2,26,9.30568435,1,23.14213,8.254182538,1,22.14213,9.310082327,1,23.97056,11.33458504,1,33.79899,9.305927907,1,23.14214,9.567981052,1,24.2132
25,0.519242286,0.003814697,1.249313,0.383326531,0.003814697,1.010895,0.208237985,0.001907349,0.9908676,0.206870079,0.001907349,0.7858276,0.037305832,0.001907349,0.2784729,0.048022271,0.001907349,0.2632141,190.886,1,380,140.272,1,314,66.646,1,313,62.8,1,233,12.406,1,51,16.794,2,46,17.68988211,1,45.69848,16.59287318,1,44.69848,17.69283168,1,45.69848,22.8266511,1,62.26822,17.71052995,1,46.28427,18.7858318,1,56.87006
30,0.71991158,0.003814697,1.684189,0.463893892,0.003814697,1.121521,0.232437135,0.001907349,0.9822845,0.208906174,0.001907349,0.837326,0.038923264,0.001907349,0.2746582,0.047180177,0.001907349,0.3166199,268.39,1,540,174.702,1,368,74.394,1,359,63.137,1,235,12.681,1,53,17.45,2,48,19.72384155,1,45.21321,18.65740021,1,44.21321,19.72560598,1,45.21321,25.98278083,1,60.57077,19.72408578,1,45.2132,20.07536809,1,45.2132
35,0.866302492,0.003814697,1.918793,0.832637796,0.003814697,2.475739,0.548154836,0.001907349,1.779556,0.659357065,0.001907349,1.937866,0.057772787,0.001907349,0.2593994,0.07629776,0.001907349,0.333786,338.925,1,701,341.865,1,696,207.279,1,611,257.711,1,697,23.219,1,66,33.474,2,78,35.5718997,1,94.01221,34.48334565,1,93.01221,35.57189971,1,94.01221,46.40039584,1,123.4038,35.57189746,1,94.0122,36.00127599,1,94.0122
40,0.84584427,0.003814697,2.006531,0.633409502,0.003814697,1.623154,0.327353723,0.003814697,1.686096,0.312226672,0.003814697,1.302719,0.05088875,0.003814697,0.2670288,0.0630857,0.003814697,0.2765656,327.395,1,694,249.92,1,590,112.793,1,562,108.021,1,430,18.262,1,77,25.364,2,64,24.68412977,1,60.04163,23.58550204,1,59.04163,24.68809611,1,60.04163,32.8697121,1,90.31397,24.68530402,1,60.04164,25.26794654,1,65.45584
45,1.252197265,0.01144409,2.807617,0.937217717,0.007629395,2.376556,0.605583182,0.003814697,2.235413,0.619350433,0.003814697,2.197266,0.082870483,0.003814697,0.3013611,0.097801209,0.003814697,0.3471375,491.388,2,1008,385.297,2,848,225.18,2,846,235.746,2,869,34.624,2,112,41.14,4,112,35.45780386,1,96.98279,34.35400579,1,95.56857,35.45838969,1,96.98279,46.77467659,1,116.9828,35.45780127,1,96.98276,36.42850456,1,96.98277
50,1.924385068,0.01907349,3.826141,1.125862127,0.007629395,2.83432,0.542346956,0.003814697,2.685547,0.422241209,0.007629395,1.811981,0.078262329,0.003814697,0.3890991,0.092136383,0.007629395,0.3089905,743.365,4,1450,454.801,2,1001,190.1,2,1016,144.092,2,672,29.149,2,167,36.746,4,110,33.65296771,1,79.35535,32.5604661,1,77.94114,33.65482559,1,79.35535,45.80206877,1,116.197,33.6703808,1,79.35535,34.50565743,1,88.35534
55,2.340248114,0.007629395,4.890442,1.5018425,0.003814697,3.391266,0.794883727,0.003814697,4.077911,0.707260137,0.003814697,2.861023,0.123811555,0.007629395,0.617981,0.143177033,0.003814697,0.5493164,923.753,1,1859,621.256,1,1386,296.759,1,1636,262.644,1,1053,51.713,1,286,60.56,2,190,40.34824672,1,98.98279,39.22908707,1,97.98279,40.35142151,1,98.98279,54.30946341,1,129.8801,40.36094274,1,98.98277,41.44735425,1,114.8823
60,2.5990143,0.01525879,5.67627,1.589828495,0.007629395,4.295349,0.856788625,0.007629395,4.165649,0.692961337,0.007629395,3.036499,0.12011131,0.007629395,0.5722046,0.138381959,0.007629395,0.5187988,1027.172,2,2065,664.198,2,1716,319.716,2,1542,257.235,2,1139,47.734,2,223,58.556,4,232,41.91909311,1,92.25487,40.80279244,1,91.25487,41.92177944,1,92.25487,56.38050583,1,134.652,41.94635229,1,92.25484,43.02536888,1,99.98277
65,3.183898928,0.01525879,6.614685,1.832244871,0.007629395,4.554749,0.901368283,0.007629395,5.149841,0.655371864,0.007629395,2.342224,0.124475978,0.007629395,0.7019043,0.140208262,0.007629395,0.5340576,1244.49,1,2478,768.168,1,1931,331.924,1,2003,238.827,1,930,50.05,1,321,57.406,2,222,43.87310716,1,105.5686,42.77183547,1,104.7402,43.87531045,1,105.5686,59.94707507,1,156.3637,43.89931406,1,105.5686,44.98239895,1,105.6691
